Timestamp (ms),carriageXPosition,pendulumXAngle,xAngleError,xPWMp,xPWMi,xPWMd,xPWMout,xPWM,xPositionError,angleXp,angleXi,angleXd,setAngleXOut,carriageYPosition,pendulumYAngle,yAngleError,yPWMp,yPWMi,yPWMd,yWMout,yPWM,yPositionError,angleYp,angleYi,angleYd,setAngleYOut
2029664.818,-60.0,-62.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1523.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029666.798,-60.0,-64.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1518.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029668.797,-60.0,-62.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1522.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029670.798,-60.0,-63.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1522.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029672.798,-60.0,-60.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1522.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029675.065,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029676.797,-60.0,-60.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1521.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029678.798,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1523.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029680.798,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029682.797,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1518.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029684.798,-60.0,-62.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029686.301,-60.0,-63.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029687.802,-60.0,-59.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1518.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029689.801,-60.0,-64.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1522.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029691.797,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029693.798,-60.0,-59.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1522.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029695.798,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029697.798,-60.0,-63.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029699.797,-60.0,-63.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1518.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029701.797,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1522.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029703.797,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1522.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029705.797,-60.0,-62.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1521.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029707.798,-60.0,-64.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029709.798,-60.0,-60.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1522.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029711.797,-60.0,-62.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029713.798,-60.0,-64.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1521.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029715.301,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1523.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029716.801,-60.0,-60.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1521.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029718.797,-60.0,-63.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1519.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029720.798,-60.0,-64.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1521.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029722.802,-60.0,-60.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1523.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029724.896,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029726.797,-60.0,-59.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1521.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029728.8,-60.0,-59.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1521.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029730.798,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1518.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029732.798,-60.0,-60.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1522.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029734.893,-60.0,-63.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1523.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029736.798,-60.0,-58.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029738.797,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029740.798,-60.0,-64.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1523.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029742.797,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1522.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029744.797,-60.0,-62.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1524.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029746.298,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1523.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029747.799,-60.0,-60.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,345.0,1524.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029749.798,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1519.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029751.797,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1525.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029753.798,-60.0,-63.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029755.797,-60.0,-62.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1524.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029757.798,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1523.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029759.798,-60.0,-60.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1519.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029761.798,-60.0,-62.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1525.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029763.797,-60.0,-62.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029765.798,-60.0,-62.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029767.8,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1522.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029769.797,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029771.798,-60.0,-62.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1519.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029773.797,-60.0,-60.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1522.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029775.297,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1519.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029776.801,-60.0,-62.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1521.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029778.798,-60.0,-62.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029780.799,-60.0,-59.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029782.797,-60.0,-61.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1523.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029784.896,-60.0,-59.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029786.798,-60.0,-59.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1522.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029788.801,-60.0,-59.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1521.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029790.798,-60.0,-60.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029792.798,-60.0,-60.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,346.0,1522.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
2029794.897,-60.0,-62.0,2126.0,-1275.7657470703125,0.0,0.18679147958755493,-1275.0,0.0,0.0,-97.19999694824219,-114.34529113769531,1.2611686178923354e-44,-211.0,345.0,1520.0,1532.0,-920.3991088867188,0.0,1.2669858932495117,-919.0,0.0,0.0,0.4949999749660492,1.1805914640426636,5.773349673018246e-43,1.0
