Timestamp (ms),carriageXPosition,pendulumXAngle,xAngleError,xPWMp,xPWMi,xPWMd,xPWMout,xPWM,xPositionError,angleXp,angleXi,angleXd,setAngleXOut,carriageYPosition,pendulumYAngle,yAngleError,yPWMp,yPWMi,yPWMd,yWMout,yPWM,yPositionError,angleYp,angleYi,angleYd,setAngleYOut
1512820.798,-3377.0,1843.0,-2014.0,1207.9598388671875,0.0,0.45743024349212646,1208.0,0.0,0.0,99.47999572753906,71.45659637451172,-5.605193857299268e-45,170.0,675.0,-1669.0,-1642.0,984.0140991210938,0.0,1.3049237728118896,985.0,0.0,0.0,9.329999923706055,13.35782527923584,5.381770318865247e-25,22.0
1512822.797,-3377.0,1844.0,-2014.0,1207.9598388671875,0.0,0.45743024349212646,1208.0,0.0,0.0,99.47999572753906,71.45659637451172,-5.605193857299268e-45,170.0,675.0,-1671.0,-1642.0,984.0140991210938,0.0,1.3049237728118896,985.0,0.0,0.0,9.329999923706055,13.35782527923584,5.381770318865247e-25,22.0
1512824.798,-3377.0,1843.0,-2014.0,1207.9598388671875,0.0,0.45743024349212646,1208.0,0.0,0.0,99.47999572753906,71.45659637451172,-5.605193857299268e-45,170.0,675.0,-1668.0,-1642.0,984.0140991210938,0.0,1.3049237728118896,985.0,0.0,0.0,9.329999923706055,13.35782527923584,5.381770318865247e-25,22.0
1512826.797,-3377.0,1844.0,-2014.0,1207.9598388671875,0.0,0.45743024349212646,1208.0,0.0,0.0,99.47999572753906,71.45659637451172,-5.605193857299268e-45,170.0,675.0,-1670.0,-1642.0,984.0140991210938,0.0,1.3049237728118896,985.0,0.0,0.0,9.329999923706055,13.35782527923584,5.381770318865247e-25,22.0
1512829.065,-3377.0,1842.0,-2014.0,1207.9598388671875,0.0,0.45743024349212646,1208.0,0.0,0.0,99.47999572753906,71.45659637451172,-5.605193857299268e-45,170.0,675.0,-1670.0,-1642.0,984.0140991210938,0.0,1.3049237728118896,985.0,0.0,0.0,9.329999923706055,13.35782527923584,5.381770318865247e-25,22.0
1512830.797,-3377.0,1844.0,-2014.0,1207.9598388671875,0.0,0.45743024349212646,1208.0,0.0,0.0,99.47999572753906,71.45659637451172,-5.605193857299268e-45,170.0,675.0,-1669.0,-1642.0,984.0140991210938,0.0,1.3049237728118896,985.0,0.0,0.0,9.329999923706055,13.35782527923584,5.381770318865247e-25,22.0
1512832.797,-3377.0,1843.0,-2014.0,1207.9598388671875,0.0,0.45743024349212646,1208.0,0.0,0.0,99.47999572753906,71.45659637451172,-5.605193857299268e-45,170.0,675.0,-1668.0,-1642.0,984.0140991210938,0.0,1.3049237728118896,985.0,0.0,0.0,9.329999923706055,13.35782527923584,5.381770318865247e-25,22.0
1512834.797,-3377.0,1842.0,-2014.0,1207.9598388671875,0.0,0.45743024349212646,1208.0,0.0,0.0,99.47999572753906,71.45659637451172,-5.605193857299268e-45,170.0,675.0,-1670.0,-1642.0,984.0140991210938,0.0,1.3049237728118896,985.0,0.0,0.0,9.329999923706055,13.35782527923584,5.381770318865247e-25,22.0
1512836.798,-3377.0,1843.0,-2014.0,1207.9598388671875,0.0,0.45743024349212646,1208.0,0.0,0.0,99.47999572753906,71.45659637451172,-5.605193857299268e-45,170.0,675.0,-1667.0,-1642.0,984.0140991210938,0.0,1.3049237728118896,985.0,0.0,0.0,9.329999923706055,13.35782527923584,5.381770318865247e-25,22.0
1512838.797,-3377.0,1845.0,-2014.0,1207.9598388671875,0.0,0.45743024349212646,1208.0,0.0,0.0,99.47999572753906,71.45659637451172,-5.605193857299268e-45,170.0,675.0,-1669.0,-1642.0,984.0140991210938,0.0,1.3049237728118896,985.0,0.0,0.0,9.329999923706055,13.35782527923584,5.381770318865247e-25,22.0
1512840.297,-3377.0,1842.0,-2014.0,1207.9598388671875,0.0,0.45743024349212646,1208.0,0.0,0.0,99.47999572753906,71.45659637451172,-5.605193857299268e-45,170.0,675.0,-1667.0,-1642.0,984.0140991210938,0.0,1.3049237728118896,985.0,0.0,0.0,9.329999923706055,13.35782527923584,5.381770318865247e-25,22.0
1512841.797,-3377.0,1842.0,-2014.0,1207.9598388671875,0.0,0.45743024349212646,1208.0,0.0,0.0,99.47999572753906,71.45659637451172,-5.605193857299268e-45,170.0,675.0,-1666.0,-1642.0,984.0140991210938,0.0,1.3049237728118896,985.0,0.0,0.0,9.329999923706055,13.35782527923584,5.381770318865247e-25,22.0
1512843.797,-3377.0,1841.0,-2014.0,1207.9598388671875,0.0,0.45743024349212646,1208.0,0.0,0.0,99.47999572753906,71.45659637451172,-5.605193857299268e-45,170.0,675.0,-1669.0,-1642.0,984.0140991210938,0.0,1.3049237728118896,985.0,0.0,0.0,9.329999923706055,13.35782527923584,5.381770318865247e-25,22.0
