Timestamp (ms),carriageXPosition,pendulumXAngle,xAngleError,xPWMp,xPWMi,xPWMd,xPWMout,xPWM,pendulumYAngle
8388.608,5.885453550164232e-44,2.3509528284038883e-38,5.707636800502374e-31,0.0012995314318686724,8.270295380629351e-40,6.355617210914494e-39,6.307457385292579e-39,-432508575416320.0,1.7968058474404786e-38
12822.4,5.707636800502374e-31,1.6796050091328774e-29,8.270295380629351e-40,6.355617210914494e-39,6.307457385292579e-39,-432508575416320.0,1.7968058474404786e-38,1.1754943508222875e-38,0.0
711013.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711097.903,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711287.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711298.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711308.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711319.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711330.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711341.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711351.202,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711362.2,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711373.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711383.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711394.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711404.202,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711415.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711426.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711437.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711447.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711458.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711469.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711480.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711490.425,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711500.426,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711511.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711522.204,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711533.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711543.202,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711554.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711564.206,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711575.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711586.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711596.202,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711607.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711618.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711629.206,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711640.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711651.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711662.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711672.202,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711683.2,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711693.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711703.683,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711713.684,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711723.685,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711734.204,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711744.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711754.206,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711764.206,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711775.204,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711786.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711796.23,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711806.231,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711816.232,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711826.656,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711836.657,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711847.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711858.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711869.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711879.202,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711890.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711901.204,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711912.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711922.206,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711932.207,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711943.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711954.204,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711964.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711975.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711986.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
711996.206,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712006.322,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712016.322,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712026.323,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712037.222,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712047.222,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712057.223,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712067.224,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712077.225,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712088.204,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712098.204,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712108.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712118.651,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712128.652,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712138.652,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712148.653,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712159.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712169.206,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712179.206,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712189.207,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712200.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712211.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712222.209,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712233.2,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712244.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712255.29,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712265.29,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712275.29,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712286.204,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712297.205,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712308.2,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712318.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712328.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712339.225,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712350.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712360.201,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712371.2,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712381.2,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712391.2,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712401.2,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
712412.2,2894.0,1397.0,-1397.0,-335.2799987792969,-0.0,0.0,-335.0,0.0,-4.0
